rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
1;13/05/2017;16:01;Flamengo;Atlético-MG;1;1;J. Mannarino;R. Machado Marques;Maracanã;11;15;3;4;41%;59%;345;501;7;10;2;3;0;0;3;1;4;6
1;13/05/2017;19:02;Corinthians;Chapecoense;1;1;F. Carille;V. Carmo Mancini;Neo Química Arena;5;16;2;2;67%;33%;638;304;10;12;2;2;0;0;1;3;1;7
1;14/05/2017;11:00;Fluminense;Santos;3;2;A. da Silva Braga;D. Silvestre Júnior;Maracanã;9;20;5;7;38%;62%;306;512;15;18;1;5;0;0;2;2;5;8
1;14/05/2017;16:01;Cruzeiro;São Paulo;1;0;L. Venker de Menezes;R. Ceni;Mineirão;8;13;5;3;37%;63%;321;533;10;13;0;1;0;0;0;0;5;5
1;14/05/2017;16:04;Bahia;Athletico-PR;6;2;A. Ferreira;P. Autuori de Mello;Itaipava Arena Fonte Nova;28;11;9;5;39%;61%;290;473;11;11;0;0;0;1;4;1;14;3
1;14/05/2017;16:01;Ponte Preta;Sport Recife;4;0;G. Kleina;N. da Silveira Júnior;Moisés Lucarelli;11;4;6;0;51%;49%;456;458;13;17;0;2;0;0;2;1;4;2
1;14/05/2017;16:01;Avaí;EC Vitória;0;0;C. dos Santos Oliveira;D. Petkovic;Ressacada;12;12;2;1;37%;63%;321;573;6;15;0;2;0;0;2;2;7;4
1;14/05/2017;16:06;Palmeiras;Vasco da Gama;4;0;A. Stival;M. Mendes;Allianz Parque;16;15;10;5;52%;48%;399;378;19;16;0;2;0;0;5;2;3;2
1;14/05/2017;19:01;Grêmio;Botafogo;2;0;Renato Gaúcho;J. Ribeiro Ventura;Arena do Grêmio;20;9;9;0;53%;47%;450;415;13;19;2;5;0;0;1;1;6;4
1;15/05/2017;20:02;Coritiba;Atlético-GO;4;1;E. Pacheco;M. Ribeiro Cabo;Couto Pereira;17;17;7;9;61%;39%;494;315;17;13;1;2;0;0;1;1;6;6
2;20/05/2017;16:01;Santos;Coritiba;1;0;D. Silvestre Júnior;E. Pacheco;Estádio Urbano Caldeira;7;23;3;11;47%;53%;338;378;24;17;6;4;0;0;1;2;3;4
2;20/05/2017;18:59;Atlético-GO;Flamengo;0;3;M. Ribeiro Cabo;J. Mannarino;Estádio do Governo do Estado de Goiás (Serra Dourada);8;20;0;11;34%;66%;332;641;11;13;2;1;0;0;0;1;4;7
2;20/05/2017;19:01;Chapecoense;Palmeiras;1;0;V. Carmo Mancini;A. Stival;Arena Condá;11;6;4;1;44%;56%;313;393;16;13;1;1;0;0;1;2;3;4
2;21/05/2017;11:00;Vasco da Gama;Bahia;2;1;M. Mendes;A. Ferreira;Estádio Vasco da Gama;16;9;10;3;60%;40%;378;253;13;23;4;1;0;1;3;3;10;5
2;21/05/2017;16:01;Athletico-PR;Grêmio;0;2;P. Autuori de Mello;Renato Gaúcho;Estádio Joaquim Américo Guimarães;18;6;1;4;61%;39%;566;372;11;16;2;3;0;1;0;3;5;3
2;21/05/2017;16:00;EC Vitória;Corinthians;0;1;D. Petkovic;F. Carille;Itaipava Arena Fonte Nova;14;12;3;4;47%;53%;419;473;13;6;0;1;0;0;0;2;3;4
2;21/05/2017;16:01;Atlético-MG;Fluminense;1;2;R. Machado Marques;A. da Silva Braga;Estádio Raimundo Sampaio;20;15;3;5;61%;39%;420;293;18;23;0;6;0;0;3;4;12;5
2;21/05/2017;17:59;Botafogo;Ponte Preta;2;0;J. Ribeiro Ventura;G. Kleina;Estádio Nilton Santos;11;15;6;3;40%;60%;446;648;15;12;1;0;0;0;1;1;1;6
2;21/05/2017;19:02;Sport Recife;Cruzeiro;1;1;N. da Silveira Júnior;L. Venker de Menezes;Adelmar da Costa Carvalho;10;17;5;5;44%;56%;364;457;20;14;3;3;0;0;1;2;5;7
2;22/05/2017;20:00;São Paulo;Avaí;2;0;R. Ceni;C. dos Santos Oliveira;Morumbi;11;8;4;0;56%;44%;444;352;16;10;1;2;0;0;1;2;5;6
3;27/05/2017;16:00;Vasco da Gama;Fluminense;3;2;M. Mendes;A. da Silva Braga;Estádio Vasco da Gama;18;13;7;6;42%;58%;299;421;11;11;2;3;0;0;3;1;3;7
3;27/05/2017;19:04;São Paulo;Palmeiras;2;0;R. Ceni;A. Stival;Morumbi;8;10;5;1;37%;63%;323;571;13;16;3;1;0;0;1;2;9;3
3;27/05/2017;21:00;EC Vitória;Coritiba;0;1;D. Petkovic;E. Pacheco;Itaipava Arena Fonte Nova;12;16;3;8;53%;47%;364;347;19;16;3;3;0;0;7;4;9;6
3;28/05/2017;11:01;Atlético-MG;Ponte Preta;2;2;R. Machado Marques;G. Kleina;Estádio Raimundo Sampaio;10;15;7;5;68%;32%;564;277;16;14;2;2;0;0;2;1;6;6
3;28/05/2017;16:00;Athletico-PR;Flamengo;1;1;E. Baptista;J. Mannarino;Estádio Joaquim Américo Guimarães;13;14;6;4;43%;57%;430;556;10;12;1;0;0;0;3;0;5;5
3;28/05/2017;16:02;Santos;Cruzeiro;0;1;D. Silvestre Júnior;L. Venker de Menezes;Estádio Urbano Caldeira;13;14;1;2;55%;45%;509;427;8;14;2;3;0;0;1;0;9;6
3;28/05/2017;16:00;Atlético-GO;Corinthians;0;1;M. Ribeiro Cabo;F. Carille;Estádio do Governo do Estado de Goiás (Serra Dourada);14;15;5;8;48%;52%;403;430;23;11;2;0;0;0;5;5;5;9
3;28/05/2017;18:00;Sport Recife;Grêmio;4;3;D. Pollo Barioni;Renato Gaúcho;Adelmar da Costa Carvalho;19;12;10;6;67%;33%;499;250;21;13;3;1;1;0;0;2;12;6
3;28/05/2017;19:00;Botafogo;Bahia;1;0;J. Ribeiro Ventura;A. Ferreira;Estádio Nilton Santos;11;17;4;10;48%;52%;372;382;20;18;1;1;0;0;1;1;2;11
3;29/05/2017;20:00;Chapecoense;Avaí;2;0;V. Carmo Mancini;C. dos Santos Oliveira;Arena Condá;23;11;4;3;58%;42%;519;388;16;11;1;0;1;1;3;0;6;0
4;03/06/2017;16:01;Coritiba;Athletico-PR;1;0;E. Pacheco;E. Baptista;Couto Pereira;11;9;5;2;49%;51%;383;392;15;11;3;2;0;0;1;5;6;6
4;03/06/2017;18:00;Fluminense;EC Vitória;2;1;A. da Silva Braga;D. Petkovic;Maracanã;17;7;6;2;56%;44%;459;363;18;22;0;5;0;0;5;0;5;2
4;03/06/2017;19:01;Corinthians;Santos;2;0;F. Carille;D. Silvestre Júnior;Neo Química Arena;19;5;4;0;51%;49%;442;454;11;9;0;1;0;1;2;0;9;1
4;04/06/2017;11:01;Flamengo;Botafogo;0;0;J. Mannarino;J. Ribeiro Ventura;Estádio Municipal General Raulino de Oliveira;19;5;2;1;65%;35%;423;239;19;19;2;2;0;0;0;4;11;2
4;04/06/2017;11:00;Avaí;Sport Recife;1;0;C. dos Santos Oliveira;V. Luxemburgo da Silva;Ressacada;7;14;1;3;35%;65%;322;600;26;25;4;4;0;0;0;1;2;5
4;04/06/2017;16:00;Palmeiras;Atlético-MG;0;0;A. Stival;R. Machado Marques;Allianz Parque;15;9;5;3;53%;47%;398;363;20;12;2;4;0;0;1;2;7;6
4;04/06/2017;16:04;Ponte Preta;São Paulo;1;0;G. Kleina;R. Ceni;Moisés Lucarelli;10;11;5;3;45%;55%;365;436;13;12;2;5;0;0;2;3;7;7
4;04/06/2017;15:59;Grêmio;Vasco da Gama;2;0;Renato Gaúcho;M. Mendes;Arena do Grêmio;11;10;2;0;59%;41%;537;374;15;13;2;3;0;0;3;1;6;5
4;04/06/2017;19:00;Cruzeiro;Chapecoense;0;2;L. Venker de Menezes;V. Carmo Mancini;Mineirão;14;10;5;4;62%;38%;525;332;8;16;1;3;0;0;2;1;4;5
4;05/06/2017;20:00;Bahia;Atlético-GO;3;0;J. de Amorim Campos;M. Ribeiro Cabo;Itaipava Arena Fonte Nova;18;8;8;3;60%;40%;462;321;21;27;0;2;0;0;6;4;7;4
5;06/06/2017;19:59;Fluminense;Athletico-PR;1;1;A. da Silva Braga;E. Baptista;Maracanã;15;7;7;1;54%;46%;394;346;19;16;3;3;0;0;1;1;10;4
5;07/06/2017;19:29;Atlético-MG;Avaí;1;0;R. Machado Marques;C. dos Santos Oliveira;Estádio Raimundo Sampaio;7;13;4;3;54%;46%;469;390;20;10;3;1;0;0;4;4;2;10
5;07/06/2017;19:31;Coritiba;Palmeiras;1;0;E. Pacheco;A. Stival;Couto Pereira;5;12;3;4;43%;57%;331;421;14;17;4;3;0;0;7;1;2;8
5;07/06/2017;20:59;Santos;Botafogo;1;0;Elano;J. Ribeiro Ventura;Estádio Municipal Paulo Machado de Carvalho;8;8;3;2;62%;38%;594;367;13;9;4;2;0;0;2;2;7;2
5;07/06/2017;21:44;Vasco da Gama;Corinthians;2;5;E. Da Conceição Silva;F. Carille;Estádio Vasco da Gama;27;10;9;6;58%;42%;448;357;10;14;0;3;0;0;2;3;14;1
5;07/06/2017;21:45;Sport Recife;Flamengo;2;0;V. Luxemburgo da Silva;J. Mannarino;Adelmar da Costa Carvalho;14;17;5;7;39%;61%;302;465;17;16;2;2;0;0;1;2;3;8
5;08/06/2017;19:29;Atlético-GO;Ponte Preta;3;0;J. P. Sanches;G. Kleina;Estádio Olímpico Pedro Ludovico Teixeira;13;10;7;4;36%;64%;297;536;20;9;1;2;0;1;4;0;8;3
5;08/06/2017;19:31;São Paulo;EC Vitória;2;0;R. Ceni;A. Tadeu Gallo;Morumbi;18;11;9;3;51%;49%;370;371;14;18;1;1;0;0;1;1;10;6
5;08/06/2017;20:01;Chapecoense;Grêmio;3;6;V. Carmo Mancini;Renato Gaúcho;Arena Condá;18;10;7;7;47%;53%;362;414;22;9;4;3;0;0;0;2;5;1
5;08/06/2017;21:00;Bahia;Cruzeiro;1;0;J. de Amorim Campos;L. Venker de Menezes;Itaipava Arena Fonte Nova;19;12;5;4;59%;41%;534;362;18;12;4;2;0;1;0;1;5;6
