rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_precisão_de_passe_casa;stat_precisão_de_passe_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
1;08/08/2020;19:00;Fortaleza;Athletico-PR;0;2;R. Ceni;D. Silvestre Júnior;Arena Castelão;11;13;3;5;43%;57%;414;549;86%;89%;14;10;3;2;1;0;1;1;4;4
1;08/08/2020;10:57;Coritiba;Internacional;0;1;E. de Souza Barroca;E. Coudet;Couto Pereira;2;11;0;4;42%;58%;382;504;74%;81%;11;21;3;4;0;0;3;2;2;6
1;08/08/2020;10:40;Sport Recife;Ceará SC;3;2;D. Pollo Barioni;A. Ferreira;Adelmar da Costa Carvalho;9;11;3;5;40%;60%;324;487;77%;82%;15;18;3;3;0;0;3;0;2;4
1;09/08/2020;16:02;Santos;Bragantino;1;1;A. Stival;F. de Oliveira Conceição;Estádio Urbano Caldeira;10;18;4;6;54%;46%;444;377;81%;80%;10;19;0;1;0;0;4;2;4;2
1;09/08/2020;16:00;Flamengo;Atlético-MG;0;1;D. Torrent Font;J. Sampaoli Moya;Maracanã;17;10;2;4;63%;37%;525;321;80%;71%;12;24;3;2;0;0;2;3;9;2
1;09/08/2020;19:00;Grêmio;Fluminense;1;0;Renato Gaúcho;O. Hellmann;Arena do Grêmio;15;10;4;4;53%;47%;496;447;80%;80%;24;16;2;3;0;0;2;1;6;3
1;30/09/2020;21:30;Corinthians;Atlético-GO;0;0;Coelho;V. Carmo Mancini;Neo Química Arena;12;18;4;6;54%;46%;461;397;83%;81%;18;12;2;0;0;0;4;2;4;7
1;30/09/2020;21:30;Botafogo;Bahia;1;2;P. Autuori de Mello;L. Venker de Menezes;Estádio Nilton Santos;15;12;2;4;62%;38%;502;322;86%;74%;18;14;2;3;1;0;0;1;8;5
1;03/12/2020;19:00;Goiás;São Paulo;0;3;G. Ramos da Silva;F. Diniz Silva;Estádio da Serrinha;9;15;3;6;41%;59%;324;466;75%;84%;16;19;3;0;0;0;0;1;2;9
1;26/01/2021;20:00;Palmeiras;Vasco da Gama;1;1;A. Moreira Ferreira;V. Luxemburgo da Silva;Allianz Parque;14;12;3;3;55%;45%;477;390;84%;78%;19;11;1;1;0;0;0;2;6;3
2;12/08/2020;09:43;Athletico-PR;Goiás;2;1;D. Silvestre Júnior;N. da Silveira Júnior;Estádio Joaquim Américo Guimarães;19;13;4;3;79%;21%;728;196;92%;72%;16;18;3;3;0;0;1;1;3;3
2;12/08/2020;19:16;Atlético-MG;Corinthians;3;2;J. Sampaoli Moya;T. Retzalff Nunes;Mineirão;25;8;13;5;56%;44%;515;426;81%;74%;19;11;0;1;0;0;3;1;8;4
2;12/08/2020;19:15;Bragantino;Botafogo;1;1;F. de Oliveira Conceição;P. Autuori de Mello;Nabizão;23;9;8;3;55%;45%;558;472;88%;82%;13;8;3;1;0;0;1;1;12;3
2;12/08/2020;20:30;Bahia;Coritiba;1;0;R. Machado Marques;E. de Souza Barroca;Estádio de Pituaçu;12;15;5;3;45%;55%;420;486;80%;85%;16;18;0;5;0;0;1;5;3;8
2;12/08/2020;20:31;Atlético-GO;Flamengo;3;0;V. Carmo Mancini;D. Torrent Font;Estádio Olímpico Pedro Ludovico Teixeira;13;9;7;3;34%;66%;284;555;72%;88%;15;19;1;1;0;1;2;1;11;5
2;12/08/2020;21:30;Ceará SC;Grêmio;1;1;A. Ferreira;Renato Gaúcho;Arena Castelão;11;14;5;8;42%;58%;421;571;80%;87%;17;7;3;1;0;0;1;0;1;7
2;12/08/2020;21:30;Fluminense;Palmeiras;1;1;O. Hellmann;V. Luxemburgo da Silva;Maracanã;10;9;1;1;52%;48%;430;400;82%;82%;20;31;3;3;0;0;3;0;3;3
2;13/08/2020;19:16;São Paulo;Fortaleza;1;0;F. Diniz Silva;R. Ceni;Morumbi;13;12;3;3;52%;48%;474;443;87%;85%;16;18;1;2;0;0;4;3;5;7
2;13/08/2020;19:32;Internacional;Santos;2;0;E. Coudet;A. Stival;Estádio José Pinheiro Borda;25;6;7;1;59%;41%;515;379;83%;79%;28;14;2;3;0;0;2;2;9;4
2;13/08/2020;20:00;Vasco da Gama;Sport Recife;2;0;R. Menezes Hubner;D. Pollo Barioni;Estádio Vasco da Gama;9;13;6;1;46%;54%;371;416;81%;84%;29;17;2;3;0;1;1;4;5;8
3;15/08/2020;19:00;Grêmio;Corinthians;0;0;Renato Gaúcho;T. Retzalff Nunes;Arena do Grêmio;24;5;8;2;47%;53%;491;571;86%;88%;16;14;2;3;0;0;0;0;7;5
3;15/08/2020;12:57;Coritiba;Flamengo;0;1;E. de Souza Barroca;D. Torrent Font;Couto Pereira;9;18;2;7;35%;65%;286;541;74%;88%;25;16;4;3;1;0;3;1;5;5
