rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
1;14/05/2016;16:03;Palmeiras;Athletico-PR;4;0;A. Stival;P. Autuori de Mello;Allianz Parque;12;4;6;0;65%;35%;577;316;14;17;1;3;0;1;2;0;8;1
1;14/05/2016;16:01;Flamengo;Sport Recife;1;0;M. Ramalho;O. de Oliveira Filho;Estádio Municipal General Raulino de Oliveira;11;1;0;0;56%;44%;553;437;18;15;2;1;0;1;2;3;4;4
1;14/05/2016;18:29;Atlético-MG;Santos;1;0;D. Aguirre Camblor;D. Silvestre Júnior;Estádio Raimundo Sampaio;23;12;0;0;40%;60%;361;517;18;12;2;2;0;0;3;5;4;2
1;14/05/2016;21:01;Coritiba;Cruzeiro;1;0;G. Kleina;G. Delamore;Couto Pereira;15;6;0;0;51%;49%;444;442;19;23;1;2;0;2;1;4;5;0
1;15/05/2016;11:00;Santa Cruz;EC Vitória;4;1;E. Da Conceição Silva;V. Carmo Mancini;Estádio do Arruda;7;11;0;0;38%;62%;227;380;11;17;3;0;0;0;6;1;6;1
1;15/05/2016;11:01;Botafogo;São Paulo;0;1;R. Gomes Raymundo;E. Bauza;Estádio Municipal General Raulino de Oliveira;11;6;0;0;67%;33%;590;310;7;10;1;5;0;0;3;3;7;4
1;15/05/2016;16:02;Figueirense;Ponte Preta;0;0;V. Eutrópio;E. Baptista;Orlando Scarpelli;13;20;0;0;54%;46%;376;332;8;21;2;5;0;0;1;1;6;9
1;15/05/2016;16:04;Corinthians;Grêmio;0;0;A. Bacchi;R. Machado Marques;Neo Química Arena;15;6;0;0;61%;39%;579;391;12;20;1;4;0;0;2;3;10;2
1;15/05/2016;16:00;América-MG;Fluminense;0;1;G. de Oliveira;L. Culpi;Estádio Raimundo Sampaio;17;14;0;0;39%;61%;317;490;8;9;0;0;0;0;2;4;8;15
1;15/05/2016;18:30;Internacional;Chapecoense;0;0;A. Fucks;A. Ferreira;Estádio José Pinheiro Borda;12;6;0;0;69%;31%;494;227;14;20;3;3;0;1;1;1;9;4
2;21/05/2016;16:02;Ponte Preta;Palmeiras;2;1;E. Baptista;A. Stival;Moisés Lucarelli;11;11;0;0;34%;66%;268;497;21;16;3;4;0;0;3;3;4;6
2;21/05/2016;18:29;Fluminense;Santa Cruz;2;2;L. Culpi;M. Mendes;Estádio Municipal General Raulino de Oliveira;15;10;0;0;58%;42%;462;341;20;23;3;5;0;0;0;0;6;5
2;21/05/2016;21:00;Cruzeiro;Figueirense;2;2;P. Gomes Bento;V. Eutrópio;Mineirão;17;13;0;0;70%;30%;533;229;11;14;3;1;0;0;1;1;5;4
2;22/05/2016;11:02;Santos;Coritiba;2;1;D. Silvestre Júnior;G. Kleina;Estádio Urbano Caldeira;12;4;0;0;59%;41%;622;451;12;15;5;2;0;0;6;3;2;1
2;22/05/2016;11:03;Athletico-PR;Atlético-MG;1;1;P. Autuori de Mello;M. de Oliveira Santos;Estádio Joaquim Américo Guimarães;9;25;0;0;42%;58%;391;523;18;7;3;1;0;0;1;3;5;14
2;22/05/2016;15:59;EC Vitória;Corinthians;3;2;V. Carmo Mancini;A. Bacchi;Barradão;10;13;0;0;34%;66%;270;529;20;24;4;4;1;0;5;3;5;5
2;22/05/2016;16:00;Chapecoense;América-MG;3;1;A. Ferreira;G. de Oliveira;Arena Condá;18;9;0;0;62%;38%;495;313;12;26;0;4;0;0;3;1;6;2
2;22/05/2016;16:00;São Paulo;Internacional;1;2;E. Bauza;A. Fucks;Morumbi;17;12;0;0;54%;46%;406;362;11;16;4;6;0;1;0;2;11;5
2;22/05/2016;16:00;Grêmio;Flamengo;1;0;R. Machado Marques;J. de Almeida Filho;Arena do Grêmio;20;14;0;0;44%;56%;434;535;17;8;3;2;0;0;4;4;11;5
2;22/05/2016;18:34;Sport Recife;Botafogo;1;1;O. de Oliveira Filho;R. Gomes Raymundo;Adelmar da Costa Carvalho;13;19;0;0;56%;44%;537;443;14;10;3;2;0;0;1;5;10;1
3;25/05/2016;19:31;Figueirense;Santos;2;2;V. Eutrópio;D. Silvestre Júnior;Orlando Scarpelli;13;8;0;0;46%;54%;403;484;21;12;2;3;0;1;2;1;7;2
3;25/05/2016;19:31;Botafogo;Athletico-PR;2;1;R. Gomes Raymundo;B. Marques Fernandes Pivetti;Helenão;10;16;3;4;34%;66%;333;645;8;12;2;2;0;0;5;1;3;5
3;25/05/2016;20:59;Flamengo;Chapecoense;2;2;J. de Almeida Filho;A. Ferreira;Estádio Municipal General Raulino de Oliveira;8;12;0;0;63%;37%;536;318;10;24;4;1;1;0;3;3;2;5
3;25/05/2016;21:00;América-MG;EC Vitória;1;1;G. de Oliveira;V. Carmo Mancini;Estádio Raimundo Sampaio;12;7;0;0;54%;46%;420;373;22;18;4;1;0;1;1;3;4;1
3;25/05/2016;21:45;Santa Cruz;Cruzeiro;4;1;M. Mendes;P. Gomes Bento;Estádio do Arruda;9;20;0;0;34%;66%;282;537;16;15;2;3;0;0;3;1;1;7
3;25/05/2016;21:47;Palmeiras;Fluminense;2;0;A. Stival;L. Culpi;Allianz Parque;15;14;0;0;53%;47%;390;360;20;12;1;0;0;0;1;3;8;4
3;25/05/2016;21:46;Coritiba;São Paulo;1;1;E. Pacheco;E. Bauza;Couto Pereira;13;11;0;0;51%;49%;419;407;18;12;2;2;0;0;0;1;6;3
3;26/05/2016;11:01;Corinthians;Ponte Preta;3;0;A. Bacchi;E. Baptista;Neo Química Arena;14;6;0;0;58%;42%;562;411;23;15;3;3;0;0;0;1;5;3
3;26/05/2016;15:59;Internacional;Sport Recife;1;0;A. Fucks;O. de Oliveira Filho;Estádio José Pinheiro Borda;11;10;0;0;52%;48%;430;426;14;13;3;1;0;0;3;1;7;5
3;26/05/2016;21:00;Atlético-MG;Grêmio;0;3;M. de Oliveira Santos;R. Machado Marques;Estádio Raimundo Sampaio;15;10;0;0;55%;45%;530;449;8;14;1;5;0;0;0;1;5;4
4;28/05/2016;15:59;Cruzeiro;América-MG;1;1;P. Gomes Bento;G. de Oliveira;Mineirão;27;6;0;0;66%;34%;544;293;7;9;1;1;0;0;1;1;15;4
4;28/05/2016;18:31;Athletico-PR;Figueirense;2;1;P. Autuori de Mello;V. Eutrópio;Estádio Joaquim Américo Guimarães;10;11;8;4;48%;52%;426;447;17;17;2;1;0;0;3;1;7;5
4;28/05/2016;21:02;Chapecoense;Santa Cruz;1;1;A. Ferreira;M. Mendes;Arena Condá;17;4;0;0;66%;34%;527;298;16;19;1;4;0;0;0;1;9;1
4;29/05/2016;11:01;Ponte Preta;Flamengo;1;2;E. Baptista;J. Mannarino;Moisés Lucarelli;18;6;0;0;61%;39%;518;346;19;13;2;1;0;1;1;1;8;2
4;29/05/2016;11:03;Sport Recife;Corinthians;0;2;O. de Oliveira Filho;A. Bacchi;Adelmar da Costa Carvalho;11;12;0;0;56%;44%;581;479;7;12;2;1;0;0;4;0;8;1
4;29/05/2016;16:00;Fluminense;Botafogo;1;0;L. Culpi;R. Gomes Raymundo;Estádio Municipal General Raulino de Oliveira;15;6;3;0;44%;56%;377;459;16;17;1;1;0;0;0;0;2;7
4;29/05/2016;16:02;EC Vitória;Atlético-MG;1;1;V. Carmo Mancini;M. de Oliveira Santos;Itaipava Arena Fonte Nova;16;16;0;0;43%;57%;342;447;21;18;4;6;0;0;1;2;4;5
4;29/05/2016;16:02;São Paulo;Palmeiras;1;0;E. Bauza;A. Stival;Morumbi;15;8;0;0;45%;55%;335;403;18;21;2;5;0;0;3;3;13;2
