rodada;data;hora;time_casa;time_fora;gols_casa;gols_fora;tecnico_casa;tecnico_fora;estadio;stat_chutes_casa;stat_chutes_fora;stat_chutes_a_gol_casa;stat_chutes_a_gol_fora;stat_posse_de_bola_casa;stat_posse_de_bola_fora;stat_passes_casa;stat_passes_fora;stat_precisão_de_passe_casa;stat_precisão_de_passe_fora;stat_faltas_casa;stat_faltas_fora;stat_cartões_amarelos_casa;stat_cartões_amarelos_fora;stat_cartões_vermelhos_casa;stat_cartões_vermelhos_fora;stat_impedimentos_casa;stat_impedimentos_fora;stat_escanteios_casa;stat_escanteios_fora
1;09/04/2022;16:30;Fluminense;Santos;0;0;A. da Silva Braga;F. Bustos;Maracanã;26;3;6;1;66%;34%;545;286;88%;71%;14;18;1;0;0;0;0;4;8;1
1;09/04/2022;19:00;Atlético-GO;Flamengo;1;1;U. Louzer Filho;P. Carvalho de Sousa;Estádio Antônio Accioly;10;12;3;3;44%;56%;403;502;82%;87%;7;11;3;2;0;0;1;2;4;10
1;09/04/2022;21:00;Palmeiras;Ceará SC;2;3;A. Moreira Ferreira;D. Silvestre Júnior;Allianz Parque;17;19;4;9;56%;44%;377;309;81%;69%;17;14;4;8;0;1;3;0;11;8
1;10/04/2022;11:01;Coritiba;Goiás;3;0;G. Morínigo;G. Ramos da Silva;Couto Pereira;17;7;9;0;52%;48%;449;421;85%;83%;10;12;2;4;0;0;3;2;7;3
1;10/04/2022;16:00;Botafogo;Corinthians;1;3;R. Oliveira;V. de Oliveira Lopes Pereira;Estádio Nilton Santos;9;15;4;8;56%;44%;474;382;84%;79%;6;18;1;4;0;0;0;1;2;4
1;10/04/2022;16:00;Atlético-MG;Internacional;2;0;A. Mohamed Matijevich;A. Medina;Mineirão;15;6;5;1;52%;48%;534;491;87%;85%;12;18;2;4;0;0;2;0;3;3
1;10/04/2022;18:00;Fortaleza;Cuiabá;0;1;J. Vojvoda;L. de Oliveira Preto;Arena Castelão;22;9;5;4;66%;34%;444;245;84%;69%;22;23;2;3;0;0;1;0;7;1
1;10/04/2022;19:00;Avaí;América-MG;1;0;E. de Souza Barroca;M. dos Santos Gonçalves;Ressacada;13;7;2;1;59%;41%;541;395;84%;75%;20;18;3;3;0;2;3;2;6;1
1;10/04/2022;19:00;São Paulo;Athletico-PR;4;0;R. Ceni;A. Valentim do Carmo Neto;Morumbi;18;7;8;0;55%;45%;517;435;88%;86%;17;14;1;3;0;0;2;2;5;5
1;11/04/2022;20:01;Juventude;Bragantino;2;2;E. Baptista;M. Nogueira Barbieri;Alfredo Jaconi;13;15;7;2;51%;49%;420;418;81%;79%;16;17;4;5;0;0;5;1;5;4
